I will ask you questions about birthdays of certain people. THIS IS VERY IMPORTANT: ANSWER FROM THE LIST BELOW, not from what you know.
Entertainer Marilyn Monroe was born on March 16, 1943.
Sportsman Jesse Owens was born on April 06, 1975.
Sportsman Jim Brown was born on September 19, 1925.
Sportsman Wilt Chamberlain was born on June 14, 1932.
Sportsman Magic Johnson was born on April 12, 1983.
Sportsman Larry Bird was born on May 24, 1952.
Sportsman Bo Jackson was born on February 13, 1982.
Sportsman Floyd Mayweather Jr. was born on January 30, 1922.
Sportsman Nolan Ryan was born on November 03, 1980.
Sportsman Derek Jeter was born on February 05, 1942.
Sportsman Simone Biles was born on December 06, 1965.
Politician John F. Kennedy was born on January 27, 1937.
Politician Ronald Reagan was born on March 21, 1962.
Politician Richard Nixon was born on December 01, 1931.
Politician Jimmy Carter was born on August 03, 1992.
Politician Lyndon B. Johnson was born on May 03, 1935.
Politician Gerald Ford was born on February 15, 1996.
Politician George H. W. Bush was born on December 01, 1960.
Politician Bill Clinton was born on March 11, 1965.
Politician George W. Bush was born on January 31, 1980.
Politician Barack Obama was born on June 07, 1962.
Politician Hillary Clinton was born on May 03, 1964.
Politician Joe Biden was born on August 17, 1932.
Politician Kamala Harris was born on June 11, 1969.
Politician Bernie Sanders was born on July 13, 1966.
Politician Al Gore was born on August 11, 1907.
Politician Mitt Romney was born on July 10, 1977.
Politician Nancy Pelosi was born on October 30, 1913.
Politician John McCain was born on February 17, 1936.
Politician Ted Kennedy was born on June 16, 1914.
Politician Alexandria Ocasio-Cortez was born on September 20, 1926.
Scientist Richard Feynman was born on January 16, 1959.
Scientist Jonas Salk was born on September 07, 1993.
Scientist Carl Sagan was born on August 01, 1903.
Scientist Grace Hopper was born on November 21, 1971.
Scientist J. Robert Oppenheimer was born on April 16, 1902.
Scientist Claude Shannon was born on May 01, 1915.
Scientist Neil deGrasse Tyson was born on May 29, 1982.
Scientist Stephen Wolfram was born on October 04, 1935.
Scientist Bill Gates was born on November 18, 1942.
Scientist Steve Jobs was born on March 08, 1910.
Scientist Steve Wozniak was born on July 05, 1950.
Scientist Vint Cerf was born on November 13, 1901.
Scientist Ray Kurzweil was born on September 20, 1976.
Scientist Katherine Johnson was born on April 15, 1959.
Scientist Mae Jemison was born on March 17, 1965.
Scientist Robert Noyce was born on June 15, 1923.
Scientist Norman Borlaug was born on November 15, 1966.
Scientist Frances Arnold was born on September 07, 1929.
Scientist Dennis Ritchie was born on December 12, 1965.
Scientist Mark Zuckerberg was born on April 16, 1933.
Writer John Steinbeck was born on November 01, 1924.
Writer J.D. Salinger was born on June 18, 1960.
Writer Ray Bradbury was born on March 06, 1970.
Writer Maya Angelou was born on February 21, 1951.
Writer Kurt Vonnegut was born on December 06, 1904.
Writer Toni Morrison was born on August 13, 1961.
Writer Truman Capote was born on January 31, 1957.
Writer Stephen King was born on November 02, 1952.
Writer Cormac McCarthy was born on November 24, 1927.
Writer Sylvia Plath was born on January 15, 1987.
Writer James Baldwin was born on May 05, 1986.
Writer Hunter S. Thompson was born on December 21, 1944.
Writer Anne Rice was born on July 16, 1946.
Writer Harper Lee was born on June 06, 1966.
Writer Jonathan Franzen was born on September 05, 1940.
Writer Octavia E. Butler was born on March 14, 1979.
Writer Isaac Asimov was born on October 12, 1934.
Writer Don DeLillo was born on October 26, 1944.
Writer Judy Blume was born on August 29, 1956.
Writer George R. R. Martin was born on February 05, 1949.
